route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability,state,id
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41931,Super Luxury (Non AC Seater 2+2 Push Back),04:10,05h 00m,09:10,4.4,396.0,33,Andhra Pradesh,29
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7621,Super Luxury (Non AC Seater 2+2 Push Back),04:15,05h 15m,09:30,3.4,396.0,30,Andhra Pradesh,30
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),04:20,05h 40m,10:00,2.9,480.0,34,Andhra Pradesh,31
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42962,Super Luxury (Non AC Seater 2+2 Push Back),04:30,06h 10m,10:40,2.6,396.0,32,Andhra Pradesh,32
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),05:00,04h 30m,09:30,3.1,480.0,37,Andhra Pradesh,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43162,Super Luxury (Non AC Seater 2+2 Push Back),05:10,06h 10m,11:20,3.6,396.0,28,Andhra Pradesh,34
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1132,RAJDHANI (A.C. Semi Sleeper),05:30,05h 50m,11:20,2.9,480.0,33,Andhra Pradesh,35
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43362,Super Luxury (Non AC Seater 2+2 Push Back),05:50,06h 05m,11:55,3.9,396.0,32,Andhra Pradesh,36
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1549,RAJADHANI AC (CONVERTED METRO LUXURY),06:00,05h 40m,11:40,2.6,480.0,36,Andhra Pradesh,37
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40577,Super Luxury (Non AC Seater 2+2 Push Back),06:30,04h 50m,11:20,4.1,396.0,33,Andhra Pradesh,38
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1959,RAJDHANI (A.C. Semi Sleeper),06:50,06h 00m,12:50,3.8,533.0,37,Andhra Pradesh,39
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42131,Super Luxury (Non AC Seater 2+2 Push Back),07:10,05h 00m,12:10,2.4,396.0,33,Andhra Pradesh,40
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2981,RAJADHANI AC (CONVERTED METRO LUXURY),07:20,05h 40m,13:00,2.2,480.0,36,Andhra Pradesh,41
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1596,RAJDHANI (A.C. Semi Sleeper),07:40,04h 35m,12:15,2.3,533.0,37,Andhra Pradesh,42
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7693,Super Luxury (Non AC Seater 2+2 Push Back),08:00,05h 00m,13:00,4.6,396.0,30,Andhra Pradesh,43
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1650,RAJADHANI AC (CONVERTED METRO LUXURY),08:20,05h 40m,14:00,1.4,480.0,36,Andhra Pradesh,44
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 31110,RAJDHANI (A.C. Semi Sleeper),08:40,05h 40m,14:20,3.4,480.0,36,Andhra Pradesh,45
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17962,eGARUDA,09:00,06h 25m,15:25,3.8,533.0,35,Andhra Pradesh,46
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4076,Super Luxury (Non AC Seater 2+2 Push Back),09:00,05h 45m,14:45,3.3,396.0,33,Andhra Pradesh,47
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 18762,eGARUDA,09:30,06h 25m,15:55,2.8,533.0,34,Andhra Pradesh,48
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1648,RAJDHANI (A.C. Semi Sleeper),09:40,04h 20m,14:00,3.2,533.0,37,Andhra Pradesh,49
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9923,Super Luxury (Non AC Seater 2+2 Push Back),09:50,06h 10m,16:00,4.1,396.0,33,Andhra Pradesh,50
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9934,Super Luxury (Non AC Seater 2+2 Push Back),10:10,07h 10m,17:20,3.9,396.0,33,Andhra Pradesh,51
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),10:20,05h 55m,16:15,2.4,480.0,35,Andhra Pradesh,52
