Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1884,RAJADHANI AC (CONVERTED METRO LUXURY),04:00,05h 40m,09:40,3.6,INR 480,36 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41931,Super Luxury (Non AC Seater 2+2 Push Back),04:10,05h 00m,09:10,4.4,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7621,Super Luxury (Non AC Seater 2+2 Push Back),04:15,05h 15m,09:30,3.4,INR 396,30 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),04:20,05h 40m,10:00,2.9,INR 480,34 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42962,Super Luxury (Non AC Seater 2+2 Push Back),04:30,06h 10m,10:40,2.6,INR 396,32 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),05:00,04h 30m,09:30,3.1,INR 480,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43162,Super Luxury (Non AC Seater 2+2 Push Back),05:10,06h 10m,11:20,3.6,INR 396,28 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1132,RAJDHANI (A.C. Semi Sleeper),05:30,05h 50m,11:20,2.9,INR 480,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43362,Super Luxury (Non AC Seater 2+2 Push Back),05:50,06h 05m,11:55,3.9,INR 396,32 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1549,RAJADHANI AC (CONVERTED METRO LUXURY),06:00,05h 40m,11:40,2.6,INR 480,36 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40577,Super Luxury (Non AC Seater 2+2 Push Back),06:30,04h 50m,11:20,4.1,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1959,RAJDHANI (A.C. Semi Sleeper),06:50,06h 00m,12:50,3.8,INR 533,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42131,Super Luxury (Non AC Seater 2+2 Push Back),07:10,05h 00m,12:10,2.4,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2981,RAJADHANI AC (CONVERTED METRO LUXURY),07:20,05h 40m,13:00,2.2,INR 480,36 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1596,RAJDHANI (A.C. Semi Sleeper),07:40,04h 35m,12:15,2.3,INR 533,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7693,Super Luxury (Non AC Seater 2+2 Push Back),08:00,05h 00m,13:00,4.6,INR 396,30 Seats available,Andhra Pradesh
